TAIR10,TAIR10 description,LF - Bo,,MF1 - Bo,MF2 - Bo
AT5G37474,Encodes a defensin-like (DEFL) family protein.,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37475,translation initiation factor-related,Bo4g136480,,-,Bo4g143820
AT5G37476,transposable element gene,na ,,na ,na 
AT5G37478,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Targeting for Xklp2 (InterPro:IPR009675); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G15510.1); Has 39 Blast hits to 39 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 39; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,Bo4g136530,,-,Bo4g143860
AT5G37480,unknown protein,Bo4g136550,,-,-
AT5G37485,other RNA,na ,,na ,na 
AT5G37490,U-box domain-containing protein,-,,-,Bo4g143870
AT5G37500,GORK (GATED OUTWARDLY-RECTIFYING K+ CHANNEL); cyclic nucleotide binding / inward rectifier potassium channel/ outward rectifier potassium channel,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37510,EMB1467 (embryo defective 1467); NADH dehydrogenase (ubiquinone)/ NADH dehydrogenase/ electron carrier/ iron-sulfur cluster binding / oxidoreductase/ oxidoreductase acting on NADH or NADPH,Bo4g136560,,-,-
AT5G37520,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37530,thiF family protein,Bo4g136570,,-,-
AT5G37540,aspartyl protease family protein,Bo4g136580,,-,-
AT5G37550,unknown protein,Bo4g136630,,-,-
AT5G37560,zinc ion binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37570,pentatricopeptide (PPR) repeat-containing protein,Bo4g136640,,-,-
AT5G37590,binding,Bo4g136660,,-,-
AT5G37600,ATGSR1; copper ion binding / glutamate-ammonia ligase,Bo4g136670,,-,-
AT5G37610,voltage-gated anion channel,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37620,DC1 domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37630,EMB2656 (EMBRYO DEFECTIVE 2656); binding,Bo4g136690,,-,-
AT5G37640,UBQ9; protein binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37650,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37660,PDLP7 (PLASMODESMATA-LOCATED PROTEIN 7),Bo4g136700,,-,-
AT5G37665,transposable element gene,na ,,na ,na 
AT5G37667,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37670,15.7 kDa class I-related small heat shock protein-like (HSP15.7-CI),-,,-,-
AT5G37680,ATARLA1A (ADP-ribosylation factor-like A1A); GTP binding,Bo4g136720,,-,-
AT5G37690,GDSL-motif lipase/hydrolase family protein,Bo4g136730;Bo4g136740,,-,-
AT5G37710,lipase class 3 family protein / calmodulin-binding heat-shock protein putative,Bo4g136750,,-,-
AT5G37720,RNA and export factor-binding protein putative,Bo4g136760,,-,-
AT5G37730,unknown protein,Bo4g136770,,-,-
AT5G37732,unknown pseudogene,na ,,na ,na 
AT5G37740,C2 domain-containing protein,Bo4g136780,,-,Bo4g143880
AT5G37750,heat shock protein binding / unfolded protein binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37760,DNAJ heat shock N-terminal domain-containing protein,na ,,na ,na 
AT5G37770,TCH2 (TOUCH 2); calcium ion binding,-,,-,Bo4g143900
AT5G37780,CAM1 (CALMODULIN 1); calcium ion binding,na ,,na ,na 
AT5G37790,protein kinase family protein,Bo4g136820,,-,-
AT5G37795,pre-tRNA,na ,,na ,na 
AT5G37800,basic helix-loop-helix (bHLH) family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37810,NIP4;1 (NOD26-LIKE INTRINSIC PROTEIN 4;1); water channel,Bo4g136860,,-,Bo4g143930;Bo4g143920
AT5G37820,NIP4;2 (NOD26-LIKE INTRINSIC PROTEIN 4;2); water channel,na ,,na ,na 
AT5G37830,OXP1 (OXOPROLINASE 1); 5-oxoprolinase (ATP-hydrolyzing)/ hydrolase,-,,Bo6g068120,-
AT5G37840,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: PMI2 (plastid movement impaired 2) (TAIR:AT1G66480.1); Has 49 Blast hits to 49 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 49; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,Bo4g136890,,-,-
AT5G37850,SOS4 (SALT OVERLY SENSITIVE 4); kinase/ pyridoxal kinase,Bo4g136910,,-,-
AT5G37860,copper-binding family protein,-,,-,-
AT5G37870,seven in absentia (SINA) family protein,Bo4g136870,,Bo6g068110,-
AT5G37872,transposable element gene,na ,,na ,na 
AT5G37875,transposable element gene,na ,,na ,na 
AT5G37880,transposable element gene,na ,,na ,na 
AT5G37890,seven in absentia (SINA) protein putative,na ,,na ,na 
AT5G37900,seven in absentia (SINA) family protein,na ,,na ,na 
AT5G37910,seven in absentia (SINA) family protein,na ,,na ,na 
AT5G37920,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37930,seven in absentia (SINA) family protein,na ,,na ,na 
AT5G37940,NADP-dependent oxidoreductase putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37950,transferase transferring hexosyl groups,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37960,oxidoreductase-related,na ,,na ,na 
AT5G37970,S-adenosyl-L-methionine:carboxyl methyltransferase family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G37980,NADP-dependent oxidoreductase putative,na ,,na ,na 
AT5G37990,S-adenosylmethionine-dependent methyltransferase/ methyltransferase,na ,,na ,na 
AT5G38000,NADP-dependent oxidoreductase putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38005,other RNA,na ,,na ,na 
AT5G38010,UDP-glucoronosyl/UDP-glucosyl transferase family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38020,S-adenosyl-L-methionine:carboxyl methyltransferase family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38030,MATE efflux family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38035,transposable element gene,na ,,na ,na 
AT5G38037,transposable element gene,na ,,na ,na 
AT5G38040,UDP-glucoronosyl/UDP-glucosyl transferase family protein,na ,,na ,na 
AT5G38050,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38060,unknown protein,-,,Bo6g068090,-
AT5G38070,zinc finger (C3HC4-type RING finger) family protein,-,,Bo6g068080,-
AT5G38080,unknown protein,-,,-,-
AT5G38090,unknown protein,na ,,na ,na 
AT5G38096,Pseudogene of AT5G38100; methyltransferase-related protein,na ,,na ,na 
AT5G38100,methyltransferase-related,-,,-,-
AT5G38110,ASF1B (ANTI- SILENCING FUNCTION 1B),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38120,4-coumarate--CoA ligase family protein / 4-coumaroyl-CoA synthase family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38130,transferase family protein,Bo4g137040,,-,-
AT5G38140,NF-YC12 (NUCLEAR FACTOR Y SUBUNIT C12); DNA binding / transcription factor,Bo4g136990,,-,-
AT5G38150,PMI15 (plastid movement impaired 15),Bo4g137000,,-,-
AT5G38155,pre-tRNA,na ,,na ,na 
AT5G38160,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein,na ,,na ,na 
AT5G38170,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein,na ,,na ,na 
AT5G38180,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein,na ,,na ,na 
AT5G38190,myosin heavy chain-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38192,transposable element gene,na ,,na ,na 
AT5G38195,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein,na ,,na ,na 
AT5G38197,Encodes a Protease inhibitor/seed storage/LTP family protein,na ,,na ,na 
AT5G38200,hydrolase,Bo4g137020,,Bo6g067990,-
AT5G38210,serine/threonine protein kinase family protein,-,,Bo6g066940;Bo6g066930,-
AT5G38220,hydrolase,-,,Bo6g067960,-
AT5G38230,transposable element gene,na ,,na ,na 
AT5G38240,serine/threonine protein kinase putative,na ,,na ,na 
AT5G38250,serine/threonine protein kinase putative,na ,,na ,na 
AT5G38260,serine/threonine protein kinase putative,na ,,na ,na 
AT5G38270,F-box family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38275,pseudogene similar to SCUTL1 blastp match of 57% identity and 1.0e-38 P-value to GP|6273383|gb|AAF06346.1|AF195653_1|AF195653 SCUTL1 {Vitis vinifera},na ,,na ,na 
AT5G38280,PR5K; kinase/ transmembrane receptor protein serine/threonine kinase,na ,,na ,na 
AT5G38285,transposable element gene,na ,,na ,na 
AT5G38290,peptidyl-tRNA hydrolase family protein,-,,Bo6g066920,-
AT5G38300,unknown protein,Bo4g137100,,-,-
AT5G38310,unknown protein,Bo4g137110,,-,-
AT5G38314,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38317,LCR58 (Low-molecular-weight cysteine-rich 58),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38320,unknown protein,Bo4g137120,,-,-
AT5G38330,LCR80 (Low-molecular-weight cysteine-rich 80),na ,,na ,na 
AT5G38340,disease resistance protein (TIR-NBS-LRR class) putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38344,transmembrane receptor,na ,,na ,na 
AT5G38350,disease resistance protein (NBS-LRR class) putative,na ,,na ,na 
AT5G38360,catalytic,-,,Bo6g066910,-
AT5G38365,transposable element gene,na ,,na ,na 
AT5G38370,zinc ion binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38378,Encodes a Plant thionin family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38380,unknown protein,Bo4g137130,,-,-
AT5G38383,transposable element gene,na ,,na ,na 
AT5G38386,F-box family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38390,F-box family protein,na ,,na ,na 
AT5G38393,pseudogene F-box protein family similar to F-box protein family,na ,,na ,na 
AT5G38396,F-box family protein,na ,,na ,na 
AT5G38400,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38410,ribulose bisphosphate carboxylase small chain 3B / RuBisCO small subunit 3B (RBCS-3B) (ATS3B),Bo4g137200;Bo4g137140,,Bo6g066900,-
AT5G38420,ribulose bisphosphate carboxylase small chain 2B / RuBisCO small subunit 2B (RBCS-2B) (ATS2B),na ,,na ,na 
AT5G38430,ribulose bisphosphate carboxylase small chain 1B / RuBisCO small subunit 1B (RBCS-1B) (ATS1B),na ,,na ,na 
AT5G38435,SPH8 (S-PROTEIN HOMOLOGUE 8),-,,Bo6g066890,-
AT5G38437,transposable element gene,na ,,na ,na 
AT5G38440,self-incompatibility protein-related,na ,,na ,na 
AT5G38450,CYP735A1; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,Bo4g137210,,-,-
AT5G38460,ALG6 ALG8 glycosyltransferase family protein,Bo4g137220,,-,-
AT5G38470,DNA repair protein RAD23 putative,Bo4g137230,,Bo6g066880,-
AT5G38480,GRF3 (GENERAL REGULATORY FACTOR 3); ATP binding / protein binding / protein phosphorylated amino acid binding,Bo4g137240,,-,-
AT5G38490,DNA binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38500,DNA binding,na ,,na ,na 
AT5G38510,rhomboid family protein,Bo4g137250,,-,-
AT5G38520,hydrolase alpha/beta fold family protein,-,,-,-
AT5G38530,tryptophan synthase-related,Bo4g137300,,-,-
AT5G38540,jacalin lectin family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38550,jacalin lectin family protein,na ,,na ,na 
AT5G38560,protein kinase family protein,Bo4g137340,,-,-
AT5G38565,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: FBD (InterPro:IPR013596) Cyclin-like F-box (InterPro:IPR001810) FBD-like (InterPro:IPR006566); BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT5G38570.1); Has 991 Blast hits to 931 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 991; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,Bo4g137360;Bo4g137410,,-,-
AT5G38570,F-box family protein,na ,,na ,na 
AT5G38580,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: FBD (InterPro:IPR013596) FBD-like (InterPro:IPR006566); BEST Arabidopsis thaliana protein match is: F-box family protein (TAIR:AT5G38570.1); Has 225 Blast hits to 219 proteins in 3 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 225; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,na ,,na ,na 
AT5G38590,F-box family protein,na ,,na ,na 
AT5G38595,transposable element gene,na ,,na ,na 
AT5G38600,proline-rich spliceosome-associated (PSP) family protein / zinc knuckle (CCHC-type) family protein,-,,Bo6g065810,-
AT5G38610,invertase/pectin methylesterase inhibitor family protein,-,,Bo6g065800,-
AT5G38620,MADS-box protein (AGL73),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38630,ACYB-1; carbon-monoxide oxygenase,-,,-,-
AT5G38640,eukaryotic translation initiation factor 2B family protein / eIF-2B family protein,Bo4g137400,,Bo6g065790,-
AT5G38650,proteasome maturation factor UMP1 family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38660,APE1 (ACCLIMATION OF PHOTOSYNTHESIS TO ENVIRONMENT),-,,Bo6g065780,-
AT5G38670,F-box family protein,-,,-,-
AT5G38680,kelch repeat-containing F-box family protein,na ,,na ,na 
AT5G38690,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: DDT superfamily (InterPro:IPR018501) DDT subgroup (InterPro:IPR018500) Cell division cycle-associated protein (InterPro:IPR018866); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G67780.1); Has 492 Blast hits to 468 proteins in 97 species: Archae - 9; Bacteria - 41; Metazoa - 179; Fungi - 19; Plants - 99; Viruses - 2; Other Eukaryotes - 143 (source: NCBI BLink).,-,,Bo6g065870,-
AT5G38700,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38705,transposable element gene,na ,,na ,na 
AT5G38710,proline oxidase putative / osmotic stress-responsive proline dehydrogenase putative,Bo4g137440,,-,-
AT5G38720,unknown protein,Bo4g137450,,-,-
AT5G38730,pentatricopeptide (PPR) repeat-containing protein,Bo4g137470,,-,-
AT5G38740,AGL77 (AGAMOUS-LIKE 77); transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38750,asparaginyl-tRNA synthetase family,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38760,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38770,AtGDU7 (Arabidopsis thaliana GLUTAMINE DUMPER 7),Bo4g137480,,-,-
AT5G38780,S-adenosyl-L-methionine:carboxyl methyltransferase family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38790,unknown protein,Bo4g137490,,-,-
AT5G38800,AtbZIP43 (Arabidopsis thaliana basic leucine-zipper 43); DNA binding / transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38810,F-box family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38820,amino acid transporter family protein,Bo4g137500,,Bo00667s170,-
AT5G38830,tRNA synthetase class I (C) family protein,Bo4g137510,,Bo00667s160,-
AT5G38840,forkhead-associated domain-containing protein / FHA domain-containing protein,Bo4g137540,,-,-
AT5G38850,disease resistance protein (TIR-NBS-LRR class) putative,Bo4g139160,,-,-
AT5G38860,BIM3 (BES1-interacting Myc-like protein 3); DNA binding / transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38870,transposable element gene,na ,,na ,na 
AT5G38880,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38890,exoribonuclease-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38895,zinc finger (C3HC4-type RING finger) family protein,Bo4g137590,,-,-
AT5G38900,DSBA oxidoreductase family protein,-,,Bo00667s140,-
AT5G38905,pre-tRNA,na ,,na ,na 
AT5G38910,germin-like protein putative,-,,Bo00667s130,Bo4g144090
AT5G38920,nucleic acid binding / ribonuclease H,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38930,germin-like protein putative,na ,,na ,na 
AT5G38940,manganese ion binding / nutrient reservoir,na ,,na ,na 
AT5G38950,germin-like protein-related,na ,,na ,na 
AT5G38960,germin-like protein putative,na ,,na ,na 
AT5G38970,BR6OX1 (BRASSINOSTEROID-6-OXIDASE 1); monooxygenase/ oxygen binding,-,,-,Bo4g144150
AT5G38975,transposable element gene,na ,,na ,na 
AT5G38980,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G38990,protein kinase family protein,-,,Bo00667s120,-
AT5G39000,protein kinase family protein,na ,,na ,na 
AT5G39010,unknown protein,-,,-,Bo4g144170
AT5G39020,protein kinase family protein,na ,,na ,na 
AT5G39024,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39030,protein kinase family protein,na ,,na ,na 
AT5G39040,ATTAP2; ATPase coupled to transmembrane movement of substances / transporter,Bo4g137660,,-,-
AT5G39050,transferase/ transferase transferring acyl groups other than amino-acyl groups,Bo4g137670,,Bo00667s110,Bo4g144190
AT5G39060,transposable element gene,na ,,na ,na 
AT5G39070,transposable element gene,na ,,na ,na 
AT5G39080,transferase family protein,na ,,na ,na 
AT5G39090,transferase family protein,na ,,na ,na 
AT5G39095,transposable element gene,na ,,na ,na 
AT5G39100,GLP6 (GERMIN-LIKE PROTEIN 6); manganese ion binding / nutrient reservoir,Bo4g137680,,-,Bo4g145220
AT5G39110,germin-like protein putative,na ,,na ,na 
AT5G39120,germin-like protein putative,na ,,na ,na 
AT5G39130,germin-like protein putative,na ,,na ,na 
AT5G39140,unknown protein,na ,,na ,na 
AT5G39150,germin-like protein putative,na ,,na ,na 
AT5G39155,transposable element gene,na ,,na ,na 
AT5G39160,germin-like protein (GLP2a) (GLP5a),na ,,na ,na 
AT5G39170,unknown protein,na ,,na ,na 
AT5G39180,germin-like protein putative,na ,,na ,na 
AT5G39185,transposable element gene,na ,,na ,na 
AT5G39190,GER2 (GERMIN-LIKE PROTEIN 2); oxalate oxidase,na ,,na ,na 
AT5G39200,unknown protein,na ,,na ,na 
AT5G39205,transposable element gene,na ,,na ,na 
AT5G39210,CRR7 (CHLORORESPIRATORY REDUCTION 7),-,,-,Bo4g145240
AT5G39220,hydrolase alpha/beta fold family protein,Bo4g137710,,-,Bo4g145250
AT5G39230,transcription initiation factor-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39240,unknown protein,Bo4g137730,,-,-
AT5G39245,transposable element gene,na ,,na ,na 
AT5G39250,F-box family protein,Bo4g137750,,-,-
AT5G39260,ATEXPA21 (ARABIDOPSIS THALIANA EXPANSIN A21),Bo4g137760,,-,Bo4g145290
AT5G39270,ATEXPA22 (ARABIDOPSIS THALIANA EXPANSIN A22),na ,,na ,na 
AT5G39280,ATEXPA23 (ARABIDOPSIS THALIANA EXPANSIN A23),na ,,na ,na 
AT5G39290,ATEXP26 (ARABIDOPSIS THALIANA EXPANSIN A26),na ,,na ,na 
AT5G39300,ATEXPA25 (ARABIDOPSIS THALIANA EXPANSIN A25),na ,,na ,na 
AT5G39310,ATEXPA24 (ARABIDOPSIS THALIANA EXPANSIN A24),na ,,na ,na 
AT5G39320,UDP-glucose 6-dehydrogenase putative,Bo4g137790,,Bo00667s060,-
AT5G39330,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39340,AHP3 (HISTIDINE-CONTAINING PHOSPHOTRANSMITTER 3); histidine phosphotransfer kinase,Bo4g137810,,-,-
AT5G39350,pentatricopeptide (PPR) repeat-containing protein,Bo4g137820,,-,-
AT5G39360,EDL2 (EID1-like 2),Bo4g137830,,-,-
AT5G39365,Encodes a defensin-like (DEFL) family protein.,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39370,S-locus glycoprotein putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39380,calmodulin-binding protein-related,Bo4g137840,,-,-
AT5G39390,leucine-rich repeat family protein / protein kinase family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39400,PTEN1; phosphatase,Bo4g137870,,Bo00667s040,-
AT5G39410,binding / catalytic,Bo4g137880,,-,-
AT5G39420,cdc2cAt (Arabidopsis thaliana cdc2c); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase,Bo4g137950,,Bo00667s020,-
AT5G39430,unknown protein,Bo4g137980,,-,-
AT5G39440,SnRK1.3 (SNF1-RELATED PROTEIN KINASE 1.3); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase,Bo4g139520;Bo4g138000,,-,-
AT5G39450,F-box family protein,Bo00578s210;Bo00578s200,,-,-
AT5G39460,F-box family protein,na ,,na ,na 
AT5G39470,F-box family protein,na ,,na ,na 
AT5G39471,protein binding / zinc ion binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39473,pseudogene of DC1 (domain-containing protein),na ,,na ,na 
AT5G39480,F-box family protein,na ,,na ,na 
AT5G39490,F-box family protein,na ,,na ,na 
AT5G39493,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39500,pattern formation protein putative,na ,,na ,na 
AT5G39510,SGR4 (SHOOT GRAVITROPSIM 4); receptor,Bo00578s180,,-,-
AT5G39520,unknown protein,Bo00578s140,,Bo6g064650,-
AT5G39530,unknown protein,na ,,na ,na 
AT5G39532,Pseudogene of AT3G59455,na ,,na ,na 
AT5G39533,transposable element gene,na ,,na ,na 
AT5G39535,pre-tRNA,na ,,na ,na 
AT5G39540,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: F-box associated type 3 (InterPro:IPR013187); BEST Arabidopsis thaliana protein match is: anac063 (Arabidopsis NAC domain containing protein 63); transcription factor (TAIR:AT3G55210.1); Has 64 Blast hits to 64 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 64; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39550,VIM3 (VARIANT IN METHYLATION 3); methyl-CpG binding / methyl-CpNpG binding / methyl-CpNpN binding / protein binding / ubiquitin-protein ligase/ zinc ion binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39560,FUNCTIONS IN: molecular_function unknown; LOCATED IN: chloroplast; EXPRESSED IN: shoot cauline leaf stamen leaf; EXPRESSED DURING: LP.04 four leaves visible petal differentiation and expansion stage LP.08 eight leaves visible; CONTAINS InterPro DOMAIN/s: Cyclin-like F-box (InterPro:IPR001810) Galactose oxidase/kelch beta-propeller (InterPro:IPR011043) Kelch repeat type 1 (InterPro:IPR006652) Kelch related (InterPro:IPR013089) Kelch-type beta propeller (InterPro:IPR015915); BEST Arabidopsis thaliana protein match is: kelch repeat-containing F-box family protein (TAIR:AT4G19870.2); Has 2231 Blast hits to 1863 proteins in 132 species: Archae - 8; Bacteria - 107; Metazoa - 1341; Fungi - 6; Plants - 633; Viruses - 27; Other Eukaryotes - 109 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39570,unknown protein,Bo00578s130,,-,-
AT5G39580,peroxidase putative,-,,Bo6g064660,-
AT5G39581,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39590,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: TLDc (InterPro:IPR006571); Has 144 Blast hits to 144 proteins in 62 species: Archae - 0; Bacteria - 0; Metazoa - 76; Fungi - 9; Plants - 26; Viruses - 0; Other Eukaryotes - 33 (source: NCBI BLink).,Bo00578s110,,-,-
AT5G39600,unknown protein,Bo00578s100,,-,-
AT5G39610,ATNAC6 (ARABIDOPSIS NAC DOMAIN CONTAINING PROTEIN 6); protein heterodimerization/ protein homodimerization/ transcription factor,Bo00578s090,,Bo6g064670,-
AT5G39620,AtRABG1 (Arabidopsis Rab GTPase homolog G1); GTP binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39630,vesicle transport v-SNARE family protein,na ,,na ,na 
AT5G39635,MIR169C; miRNA,na ,,na ,na 
AT5G39640,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39645,Encodes a Defensin-like (DEFL) family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT5G39650,unknown protein,Bo00578s070,,-,-
